"id","area","sdk","severity","title","detail","impact","suggested_fix","verified_how","status"
"SDK-001","publishing","js","high","RESOLVED: the package is @nrouter_ai/sdk and it IS published","The row tracked `@nrouter/sdk`, a name that was never the published target. `@nrouter_ai/sdk@1.0.0` has been live on npm all along; package.json and both READMEs carried the wrong scope, so the documented install command 404'd.","Anyone following the README concluded the JS SDK was unreleased; anyone finding the real package concluded this repo was not its source.","Done: renamed everywhere and the README status row flipped to PUBLISHED.","npm view @nrouter_ai/sdk -> 1.0.0, MIT, openai ^4.0.0, 9.3 kB, maintainer nrouter_ai; registry 200. registry.npmjs.org/@nrouter%2Fsdk -> 404.","closed"
"SDK-002","publishing","kotlin","high","ai.nrouter:nrouter-sdk-kotlin is not on Maven Central","Only ai.nrouter:nrouter-sdk (the Java SDK) exists under the ai.nrouter group.","Kotlin consumers cannot resolve the artifact; Android cannot resolve its dependency either.","Follow sdks/kotlin/PUBLISHING.md. The ai.nrouter namespace is already verified since the Java SDK ships from it.","repo1.maven.org/maven2/ai/nrouter/ lists only nrouter-sdk/","open"
"SDK-003","publishing","android","high","ai.nrouter:nrouter-sdk-android is not on Maven Central","Depends on SDK-002: the AAR names ai.nrouter:nrouter-sdk-kotlin, which is not public.","Publishing Android first would ship an AAR whose POM names an unresolvable dependency.","Publish the Kotlin core first and confirm it resolves from Central, then Android. Ordering rule is in sdks/android/PUBLISHING.md.","repo1.maven.org listing; sdks/android/build.gradle.kts api() coordinate","open"
"SDK-004","publishing","swift","medium","The Swift package has no semver tag, so it cannot be resolved yet","SwiftPM resolves a git repo by tag and reads Package.swift from the repository ROOT. Both are now satisfied: a root Package.swift ships from this SDK tree (the public repo root) with path: targets into sdks/swift/. The public repo has NO tags, so `from: ""2.1.0""` resolves nothing.","Swift consumers cannot depend on the package until a tag exists.","Publish the subtree split, then push a bare semver tag (2.1.0, no `v`) to the PUBLIC repo. Steps in sdks/swift/PUBLISHING.md. A separate nrouter-sdk-swift repo is NOT needed — that was an earlier wrong conclusion, now corrected.","git ls-remote --tags nrouter-sdk -> empty. Root-manifest approach proven end to end in .scratch: fixture repo + tag + a consumer package resolved, built and RAN against it.","open"
"SDK-005","publishing","rust","high","The nrouter crate is not on crates.io","README advertises `cargo add nrouter`; the crates.io API returns 404 for the name.","The documented install command fails. The name is also unclaimed, so someone else could take it.","Publish per sdks/rust/PUBLISHING.md. Claiming the name early is worth doing even ahead of a full release.","crates.io/api/v1/crates/nrouter -> 404 (an earlier 403 was a user-agent block, not an answer)","open"
"SDK-006","publishing","dart","high","The nrouter package is not on pub.dev","README advertises `dart pub add nrouter`; pub.dev returns 404.","The documented install command fails.","Publish per sdks/dart/PUBLISHING.md. Consider a verified publisher for nrouter.ai at the same time.","pub.dev/api/packages/nrouter -> 404","open"
"SDK-007","publishing","r","high","The R package is on neither R-universe nor CRAN","nrouterai.r-universe.dev returns 404 for the package.","The documented install command fails; only install_github works today.","R-universe first (no review queue, builds binaries). CRAN only once the API is settled.","nrouterai.r-universe.dev/api/packages/nrouter -> 404","open"
"SDK-008","verification","all","high","RESOLVED: all ten SDK surfaces have opt-in live Claude acceptance tests","Each language now has a billed opt-in test against a configurable gateway. On 2026-08-30 every surface ran through the healthy local app and Rust gateway with the demo tenant and claude-haiku-4-5-20251001; Android exercised NRouterAndroid.create() plus the shared Kotlin stream.","Auth shape, native Messages paths, streaming terminators and request metadata are proven beyond mock transports.","Done: keep live tests opt-in so ordinary suites never spend credits; run them before release with NROUTER_LIVE=1.","JS, Go, Kotlin, Swift, Rust, R, Java, Python, Dart and Android local-gateway acceptances all passed; all used max_tokens=2 and asserted x-nr-request-id","closed"
"SDK-009","coverage","java","medium","RESOLVED: Java exposes all x-nr-* metadata and typed gateway errors","The vendor-compatible NRouter.create() remains unchanged; additive NRouter.httpClient() uses Java 11 HttpClient and exposes NRouterHttpResponse, NRouterResponseMeta and NRouterException.","Java callers can read all thirteen headers and distinguish all nine canonical gateway errors without breaking the published vendor surface.","Done: the conformance gate no longer exempts Java from metadata/error checks.","mvn test passed; live Claude Messages acceptance passed; conformance requires every Java header declared+used and every code mapped","closed"
"SDK-010","coverage","js","medium","RESOLVED: the JS SDK exposes x-nr-* metadata and typed errors","The native JS surface now parses all thirteen response headers and maps the shared nine gateway codes to exported typed errors.","JS callers receive the same nRouter metadata and error semantics as the first-party native transports.","Done: ResponseMeta parsing and the shared classifier are implemented and conformance-enforced.","npm test -> 313 passed; conformance/check_conformance.py checks all 13 headers and 9 codes in JS source","closed"
"SDK-011","feature","go;kotlin;swift;rust;dart;r","medium","RESOLVED: every first-party native transport supports incremental SSE streaming","All six native transports expose named helpers for chat completions, legacy completions, Messages and Responses; they preserve provider-native events, extract portable text deltas, require explicit terminal events, type in-band errors and support early cancellation.","Native callers receive incremental tokens without hand-parsing SSE, and truncated streams cannot look complete.","Done: shared conformance now requires all 24 named streaming helpers and its self-test deletes one to prove the gate bites.","Each language suite passed; each live Claude Messages stream passed; conformance and mutation self-test passed","closed"
"SDK-012","testing","r","medium","RESOLVED: R has real local HTTP request-path tests","webfakes is in Suggests and tests exercise native Messages JSON plus audio transcription multipart over a real local server.","URL construction, bearer auth, JSON/multipart encoding and x-nr metadata parsing are regression-protected.","Done: retain the request-path tests alongside unit classification tests.","R testthat suite passed with 100+ assertions; test-request-path.R verifies /v1/messages and /v1/audio/transcriptions","closed"
"SDK-013","testing","swift","low","RESOLVED: Swift cancellation aborts the underlying URLSession task","The StubProtocol harness now holds a buffered response open and proves Task cancellation reaches URLSession rather than only cancelling the wrapper task.","An abandoned caller does not leave a billed inference running unseen.","Done: keep the cancellation test in ContractTests.","swift test passed 26 contract tests including testCancellingBufferedCallStopsURLSessionTask; strict-concurrency warnings-as-errors build passed","closed"
"SDK-014","testing","all","medium","RESOLVED: publish workflows plus one all-ten local release gate","npm and PyPI merge-triggered workflows retain their registry guards; scripts/test-all.sh now runs conformance plus its mutation proof and all ten SDK suites, including Android lint/AAR, Go race/vet, Rust clippy, Swift strict concurrency and Dart analysis.","A release has one reproducible command instead of a hand-maintained checklist, and missing toolchains fail loudly with exit 78.","Done: invoke scripts/test-all.sh before every release; billed live checks remain intentionally opt-in.","scripts/test-all.sh completed OK on 2026-08-30 after running every SDK; existing npm/PyPI workflow evidence remains gh run 33098825489","closed"
"SDK-015","tooling","conformance","low","RESOLVED at the composed release-gate layer: each code is bound to its status by executable suites","The source-only conformance pass intentionally checks the shared code/status sets, while scripts/test-all.sh immediately runs every language's exact code-to-status classifier tests. The two checks are one required release gate.","A wrong per-code status mapping fails the owning SDK suite even though text proximity is deliberately not guessed.","Done: keep the limitation documented and always invoke the composed scripts/test-all.sh gate.","scripts/test-all.sh passed all ten suites plus conformance/self-test; JS and every native suite assert exact code/status mappings","closed"
"SDK-016","tooling","conformance","low","RESOLVED at the composed release-gate layer: header wiring is executed in every SDK suite","The source gate proves all thirteen names are declared and consumed; scripts/test-all.sh then executes each SDK's field-level metadata parsing tests.","A deleted lookup fails conformance and a mis-wired lookup fails the owning executable suite.","Done: retain both halves in the one local release command.","scripts/test-all.sh passed; every SDK suite parses priced/unpriced metadata and the native suites exercise field mappings","closed"
"SDK-017","dependencies","rust","low","The Rust MSRV is 1.88, which is high for a client library","The floor comes from the transitive graph (icu_* via reqwest's TLS stack), not from this crate's own code.","Consumers on an older toolchain cannot use the SDK at all.","Try rustls-free or older-pinned feature sets for reqwest and re-measure. Derive the floor with the cargo metadata one-liner in PUBLISHING.md; never lower the field without `cargo +<v> check --locked`.","cargo metadata: max rust_version across the graph = 1.88; cargo +1.75.0 check --locked fails","open"
"SDK-018","implementation","swift","low","Swift multipart encoding is hand-rolled","URLSession ships no multipart builder, so the body is assembled by hand. Quoted-string escaping and CR/LF stripping are covered by a test, but the encoder is bespoke.","Any future edit risks re-opening the header-injection hole that was already found and fixed once.","Keep the injection test as the guard. Consider a small vetted encoder if the surface grows.","sdks/swift/Sources/NRouter/NRouter.swift multipart(); injection test present","open"
"SDK-019","build","android","low","RESOLVED: Android toolchain inputs and exact packages are documented","PUBLISHING.md now names JDK 17, platform 34, build-tools 34.0.0, platform-tools and the Homebrew/default environment paths; scripts/test-all.sh refuses loudly when the SDK is absent.","A fresh checkout has a reproducible setup path and cannot silently skip Android.","Done: keep compileSdk/package IDs aligned when Android Gradle Plugin changes.","Fresh command-line tools install followed by ./gradlew build: 99 tasks including lint, Robolectric tests and AAR assembly passed","closed"
"SDK-020","packaging","r","low","R CMD check --as-cran reports two NOTEs","'New submission' (true, and clears after the first acceptance) and 'pandoc not installed' (environmental).","Neither is a defect, but CRAN submission will surface both and a reviewer will ask.","Install pandoc to clear the second locally. The first resolves itself on acceptance.","R CMD check --as-cran -> Status: 2 NOTEs, both named above","open"
"SDK-021","coverage","python","low","RESOLVED: Python's vendor audio surface is proven over real multipart HTTP","A local server characterization drives client.audio.transcriptions.create() and pins the /v1/audio/transcriptions path, bearer key, multipart model/file parts, response model and nRouter billing metadata.","The supported vendor surface is proven without adding a redundant wrapper API.","Done: test_sdk_021_vendor_audio_uses_gateway_multipart_path is the regression contract.","pytest: 81 passed, 1 opt-in live skipped; the new SDK-021 test passes against a real local HTTP server","closed"
"SDK-022","repo","ent-ai-hub","low","verify-layout.sh has one pre-existing failure: agents/hermes-agent","Present on origin/main before this SDK work; left by the earlier removal of the vendored NousResearch/hermes-agent.","The repo's own layout guard is never fully green, which trains people to ignore it.","Either restore the path or drop it from the expected-layout list in scripts/verify-layout.sh.","Reproduced on a clean origin/main worktree: 1 FAIL, this one","open"
"SDK-023","publishing","all","high","RESOLVED by repository extraction: nrouter-sdk is now authored and pushed directly","The public nRouterAI/nrouter-sdk repository is the canonical working repository with its own main history; the old ent-ai-hub subtree script is no longer in the authoring or release path.","Public main cannot silently lag a private subtree split or be force-rewritten by that obsolete workflow.","Done: direct-main commits and registry workflows run from this repository; never restore subtree publishing.","Repository CLAUDE.md records the 2026-08-26 extraction with full history; current SDK work is committed and pushed directly from nrouter-sdk main","closed"
"SDK-024","repo","nrouter-app","medium","RESOLVED: nrouter-app points at the standalone SDK repository","The functional guard now defaults to ../nrouter-sdk/sdks/python and stale source comments/install naming were corrected without changing the override.","The app's documented error classes are checked against the real Python SDK instead of skipping.","Done in nrouter-app commit a18059604.","Before: guard exited 78 at the removed path. After: all 7 contract error classes verified; targeted ESLint passed; commit pushed to main","closed"
